# These species names, database (RAM/FAO), and species categories
# were taken from the file
# `Compiled_Assessed_and_Unassessed_Data_5_with_Props.csv`
# by Sean on 2015-06-22
# the 3 categories correspond to the categories in the simulation dataset
spname,database,LH2
Lepidorhombus whiffiagonis,FAO,D
Lepidorhynchus denticulatus,FAO,NA
Lethrinus atlanticus,FAO,D
Lethrinus borbonicus,FAO,D
Lethrinus lentjan,FAO,D
Lethrinus mahsena,FAO,D
Lethrinus nebulosus,FAO,D
Lethrinus obsoletus,FAO,D
Lichia amia,FAO,NA
Limanda aspera,Ram,D
Limanda ferruginea,Ram,D
Limanda limanda,FAO,D
Lithognathus lithognathus,FAO,D
Lithognathus mormyrus,FAO,D
Liza klunzingeri,FAO,D
Lophius americanus,FAO,D
Lophius americanus,Ram,D
Lophius gastrophysus,FAO,D
Lophius piscatorius,FAO,D
Lophius vomerinus,FAO,D
Lopholatilus chamaeleonticeps,Ram,D
Lopholatilus chamaeleonticeps,FAO,D
Lutjanus argentimaculatus,FAO,D
Lutjanus argentiventris,FAO,D
Lutjanus bohar,FAO,D
Lutjanus campechanus,Ram,D
Lutjanus campechanus,FAO,D
Lutjanus gibbus,FAO,D
Lutjanus johnii,FAO,D
Lutjanus malabaricus,FAO,D
Lutjanus purpureus,FAO,D
Lutjanus quinquelineatus,FAO,D
Lutjanus synagris,FAO,D
Lutjanus vivanus,FAO,D
Macrodon ancylodon,FAO,D
Macrourus berglax,FAO,D
Macrourus carinatus,FAO,D
Macrozoarces americanus,FAO,D
Macruronus magellanicus,FAO,D
Macruronus novaezelandiae,Ram,D
Macruronus novaezelandiae,FAO,D
Makaira indica,FAO,LP
Makaira nigricans,FAO,LP
Mallotus villosus,Ram,SP
Mallotus villosus,FAO,SP
Megalaspis cordyla,FAO,D
Megalops atlanticus,FAO,D
Megalops cyprinoides,FAO,NA
Melanogrammus aeglefinus,Ram,D
Melanogrammus aeglefinus,FAO,D
Mene maculata,FAO,D
Menidia menidia,FAO,SP
Menticirrhus littoralis,FAO,D
Menticirrhus saxatilis,FAO,D
Merlangius merlangus,FAO,D
Merlangius merlangus,Ram,D
Merluccius angustimanus,FAO,D
Merluccius australis,FAO,D
Merluccius australis,Ram,D
Merluccius bilinearis,Ram,D
Merluccius bilinearis,FAO,D
Merluccius capensis,FAO,D
Merluccius capensis,Ram,D
Merluccius gayi,FAO,D
Merluccius hubbsi,FAO,D
Merluccius hubbsi,Ram,D
Merluccius merluccius,FAO,D
Merluccius merluccius,Ram,D
Merluccius paradoxus,Ram,D
Merluccius polli,FAO,D
Merluccius productus,Ram,LP
Merluccius productus,FAO,LP
Merluccius senegalensis,FAO,D
Microgadus tomcod,FAO,D
Micromesistius australis,FAO,LP
Micromesistius australis,Ram,LP
Micromesistius poutassou,FAO,SP
Micropogonias furnieri,FAO,D
Microstomus kitt,FAO,D
Microstomus pacificus,Ram,D
Miichthys miiuy,FAO,D
Molva dypterygia,FAO,D
Molva molva,FAO,D
Mora moro,FAO,LP
Mugil cephalus,FAO,LP
Mugil liza,FAO,D
Mugil soiuy,FAO,D
Mulloidichthys flavolineatus,FAO,D
Mullus argentinae,FAO,D
Mullus barbatus,FAO,D
Mullus surmuletus,FAO,D
Muraenesox cinereus,FAO,D
Mustelus lenticulatus,FAO,D
Mustelus mustelus,FAO,D
Mustelus schmitti,FAO,D
Mycteroperca xenarcha,FAO,D
Naso unicornis,FAO,D
Nemadactylus macropterus,FAO,D
Nemadactylus macropterus,Ram,D
Nemipterus japonicus,FAO,D
Nemipterus virgatus,FAO,D
Neoplatycephalus richardsoni,Ram,D
Nibea mitsukurii,FAO,D
Notothenia gibberifrons,FAO,D
Notothenia rossii,FAO,D
Notothenia squamifrons,FAO,D
Oblada melanura,FAO,D
Ocyurus chrysurus,FAO,D
Odontesthes regia,FAO,NA
Ophiodon elongatus,FAO,D
Ophiodon elongatus,Ram,D
Opisthonema libertate,FAO,SP
Opisthonema oglinum,FAO,D
Orcynopsis unicolor,FAO,NA
Orthopristis chrysoptera,FAO,D
Otolithes ruber,FAO,D
Pagellus acarne,FAO,D
Pagellus bellottii,FAO,D
Pagellus bogaraveo,FAO,D
Pagellus erythrinus,FAO,D
Pagrus auratus,FAO,D
Pagrus pagrus,FAO,D
Pampus argenteus,FAO,SP
Paralabrax humeralis,FAO,D
Paralichthys californicus,FAO,D
Paralichthys dentatus,FAO,D
Paralichthys dentatus,Ram,D
Paralichthys olivaceus,FAO,D
Paralonchurus peruanus,FAO,D
Parapercis colias,FAO,D
Parastromateus niger,FAO,D
Parika scaber,FAO,D
Parona signata,FAO,D
Parophrys vetulus,Ram,D
Pellona ditchela,FAO,SP
Pelotretis flavilatus,FAO,D
Pennahia anea,FAO,D
Pennahia argentata,FAO,D
Pentanemus quinquarius,FAO,D
Peprilus paru,FAO,NA
Peprilus simillimus,FAO,NA
Peprilus triacanthus,FAO,SP
Peprilus triacanthus,Ram,SP
Percophis brasiliensis,FAO,D
Phycis blennoides,FAO,D
Phycis phycis,FAO,D
Plagiogeneion rubiginosum,FAO,D
Platichthys flesus,FAO,D
Platycephalus indicus,FAO,D
Plectorhinchus gaterinus,FAO,D
Plectorhinchus mediterraneus,FAO,D
Plectorhinchus schotaf,FAO,D
Plectropomus areolatus,FAO,D
Plectropomus pessuliferus,FAO,D
Pleuragramma antarcticum,FAO,NA
Pleurogrammus azonus,FAO,D
Pleurogrammus monopterygius,FAO,D
Pleurogrammus monopterygius,Ram,D
Pleuronectes platessa,Ram,D
Pleuronectes quadrituberculatus,Ram,D
Pleuronectes vetulus,FAO,D
Pogonias cromis,FAO,D
Pollachius pollachius,FAO,D
Pollachius virens,Ram,D
Pollachius virens,FAO,D
Polydactylus quadrifilis,FAO,D
Polyprion americanus,FAO,D
Polyprion oxygeneios,FAO,D
Pomadasys argenteus,FAO,D
Pomadasys incisus,FAO,D
Pomadasys jubelini,FAO,D
Pomadasys kaakan,FAO,D
Pomatomus saltatrix,FAO,LP
Pomatomus saltatrix,Ram,LP
Priacanthus macracanthus,FAO,D
Prionace glauca,FAO,LP
Prolatilus jugularis,FAO,D
Psenopsis anomala,FAO,SP
Psetta maxima,FAO,D
Psettichthys melanostictus,FAO,D
Psettodes erumei,FAO,D
Pseudocaranx dentex,Ram,D
Pseudocaranx dentex,FAO,D
Pseudocyttus maculatus,Ram,D
Pseudopercis semifasciata,FAO,D
Pseudophycis bachus,FAO,D
Pseudopleuronectes americanus,Ram,D
Pseudopleuronectes americanus,FAO,D
Pseudopleuronectes herzensteini,FAO,D
Pseudotolithus brachygnathus,FAO,D
Pseudotolithus elongatus,FAO,D
Pseudotolithus senegalensis,FAO,D
Pseudupeneus prayensis,FAO,D
Pterogymnus laniarius,FAO,D
Pteroscion peli,FAO,D
Pterygotrigla picta,FAO,D
Pterygotrigla polyommata,FAO,D
Rachycentron canadum,FAO,D
Raja batis,FAO,D
Raja circularis,FAO,D
Raja clavata,FAO,D
Raja fullonica,FAO,D
Raja montagui,FAO,D
Raja naevus,FAO,D
Raja oxyrinchus,FAO,D
Raja radiata,FAO,D
Raja rhina,Ram,D
Rastrelliger brachysoma,FAO,SP
Rastrelliger kanagurta,FAO,SP
Reinhardtius hippoglossoides,Ram,D
Reinhardtius stomias,Ram,D
Rexea solandri,Ram,LP
Rhabdosargus globiceps,FAO,D
Rhabdosargus haffara,FAO,D
